"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"22206",41300,"Loyola",NA,NA,5040,2018-05-03,5,"May",2018,3,"Thursday","(42.001073, -87.661061)","100000000",NA
"22286",41300,"Loyola",NA,NA,4839,2018-06-07,6,"Jun",2018,7,"Thursday","(42.001073, -87.661061)","100000000",NA
"22435",41300,"Loyola",NA,NA,3978,2018-05-21,5,"May",2018,21,"Monday","(42.001073, -87.661061)","100000000",NA
"22596",41300,"Loyola",NA,NA,4181,2018-04-28,4,"Apr",2018,28,"Saturday","(42.001073, -87.661061)","100000000",NA
"22740",41300,"Loyola",NA,NA,4618,2018-05-24,5,"May",2018,24,"Thursday","(42.001073, -87.661061)","100000000",NA
"22944",41300,"Loyola",NA,NA,5300,2018-04-04,4,"Apr",2018,4,"Wednesday","(42.001073, -87.661061)","100000000",NA
"23018",41300,"Loyola",NA,NA,4610,2018-05-07,5,"May",2018,7,"Monday","(42.001073, -87.661061)","100000000",NA
"23033",41300,"Loyola",NA,NA,4292,2018-04-02,4,"Apr",2018,2,"Monday","(42.001073, -87.661061)","100000000",NA
"23679",41300,"Loyola",NA,NA,5024,2018-04-30,4,"Apr",2018,30,"Monday","(42.001073, -87.661061)","100000000",NA
"23708",41300,"Loyola",NA,NA,3208,2018-06-02,6,"Jun",2018,2,"Saturday","(42.001073, -87.661061)","100000000",NA
"23729",41300,"Loyola",NA,NA,5119,2018-05-02,5,"May",2018,2,"Wednesday","(42.001073, -87.661061)","100000000",NA
"23779",41300,"Loyola",NA,NA,5448,2018-05-04,5,"May",2018,4,"Friday","(42.001073, -87.661061)","100000000",NA
"23878",41300,"Loyola",NA,NA,5521,2018-04-05,4,"Apr",2018,5,"Thursday","(42.001073, -87.661061)","100000000",NA
"23925",41300,"Loyola",NA,NA,4719,2018-06-06,6,"Jun",2018,6,"Wednesday","(42.001073, -87.661061)","100000000",NA
"24000",41300,"Loyola",NA,NA,4718,2018-06-01,6,"Jun",2018,1,"Friday","(42.001073, -87.661061)","100000000",NA
"24035",41300,"Loyola",NA,NA,3835,2018-05-14,5,"May",2018,14,"Monday","(42.001073, -87.661061)","100000000",NA
"24274",41300,"Loyola",NA,NA,4327,2018-05-11,5,"May",2018,11,"Friday","(42.001073, -87.661061)","100000000",NA
"24607",41300,"Loyola",NA,NA,3302,2018-05-19,5,"May",2018,19,"Saturday","(42.001073, -87.661061)","100000000",NA
"25118",41300,"Loyola",NA,NA,3497,2018-06-09,6,"Jun",2018,9,"Saturday","(42.001073, -87.661061)","100000000",NA
"25553",41300,"Loyola",NA,NA,4977,2018-04-23,4,"Apr",2018,23,"Monday","(42.001073, -87.661061)","100000000",NA
"25573",41300,"Loyola",NA,NA,4782,2018-06-19,6,"Jun",2018,19,"Tuesday","(42.001073, -87.661061)","100000000",NA
"25606",41300,"Loyola",NA,NA,4492,2018-06-26,6,"Jun",2018,26,"Tuesday","(42.001073, -87.661061)","100000000",NA
