"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"11892",41210,"Wellington","03/04/2018","U",863,2018-03-04,3,"Mar",2018,4,"Sunday","(41.936033, -87.653266)","purple_exp"
"12427",41210,"Wellington","01/24/2018","W",3300,2018-01-24,1,"Jan",2018,24,"Wednesday","(41.936033, -87.653266)","purple_exp"
"13030",41210,"Wellington","01/14/2018","U",773,2018-01-14,1,"Jan",2018,14,"Sunday","(41.936033, -87.653266)","purple_exp"
"13044",41210,"Wellington","02/19/2018","W",2306,2018-02-19,2,"Feb",2018,19,"Monday","(41.936033, -87.653266)","purple_exp"
"13387",41210,"Wellington","02/09/2018","W",2325,2018-02-09,2,"Feb",2018,9,"Friday","(41.936033, -87.653266)","purple_exp"
"13424",41210,"Wellington","03/20/2018","W",3069,2018-03-20,3,"Mar",2018,20,"Tuesday","(41.936033, -87.653266)","purple_exp"
"13441",41210,"Wellington","03/27/2018","W",3047,2018-03-27,3,"Mar",2018,27,"Tuesday","(41.936033, -87.653266)","purple_exp"
"13682",41210,"Wellington","03/05/2018","W",2958,2018-03-05,3,"Mar",2018,5,"Monday","(41.936033, -87.653266)","purple_exp"
"14009",41210,"Wellington","01/02/2018","W",2401,2018-01-02,1,"Jan",2018,2,"Tuesday","(41.936033, -87.653266)","purple_exp"
"14023",41210,"Wellington","02/06/2018","W",3146,2018-02-06,2,"Feb",2018,6,"Tuesday","(41.936033, -87.653266)","purple_exp"
"14052",41210,"Wellington","03/01/2018","W",3226,2018-03-01,3,"Mar",2018,1,"Thursday","(41.936033, -87.653266)","purple_exp"
"14117",41210,"Wellington","03/24/2018","A",1202,2018-03-24,3,"Mar",2018,24,"Saturday","(41.936033, -87.653266)","purple_exp"
"14123",41210,"Wellington","03/09/2018","W",3016,2018-03-09,3,"Mar",2018,9,"Friday","(41.936033, -87.653266)","purple_exp"
"14136",41210,"Wellington","02/03/2018","A",1171,2018-02-03,2,"Feb",2018,3,"Saturday","(41.936033, -87.653266)","purple_exp"
"14148",41210,"Wellington","01/22/2018","W",3018,2018-01-22,1,"Jan",2018,22,"Monday","(41.936033, -87.653266)","purple_exp"
"14195",41210,"Wellington","02/13/2018","W",3290,2018-02-13,2,"Feb",2018,13,"Tuesday","(41.936033, -87.653266)","purple_exp"
"14360",41210,"Wellington","01/03/2018","W",2804,2018-01-03,1,"Jan",2018,3,"Wednesday","(41.936033, -87.653266)","purple_exp"
"14734",41210,"Wellington","01/21/2018","U",829,2018-01-21,1,"Jan",2018,21,"Sunday","(41.936033, -87.653266)","purple_exp"
"14863",41210,"Wellington","02/24/2018","A",1336,2018-02-24,2,"Feb",2018,24,"Saturday","(41.936033, -87.653266)","purple_exp"
"14890",41210,"Wellington","01/31/2018","W",3229,2018-01-31,1,"Jan",2018,31,"Wednesday","(41.936033, -87.653266)","purple_exp"
"15282",41210,"Wellington","02/23/2018","W",3098,2018-02-23,2,"Feb",2018,23,"Friday","(41.936033, -87.653266)","purple_exp"
"15542",41210,"Wellington","01/16/2018","W",3227,2018-01-16,1,"Jan",2018,16,"Tuesday","(41.936033, -87.653266)","purple_exp"
"15587",41210,"Wellington","02/07/2018","W",3211,2018-02-07,2,"Feb",2018,7,"Wednesday","(41.936033, -87.653266)","purple_exp"
"15726",41210,"Wellington","02/18/2018","U",903,2018-02-18,2,"Feb",2018,18,"Sunday","(41.936033, -87.653266)","purple_exp"
"15787",41210,"Wellington","02/10/2018","A",1332,2018-02-10,2,"Feb",2018,10,"Saturday","(41.936033, -87.653266)","purple_exp"
"15960",41210,"Wellington","01/17/2018","W",3199,2018-01-17,1,"Jan",2018,17,"Wednesday","(41.936033, -87.653266)","purple_exp"
"15966",41210,"Wellington","03/25/2018","U",869,2018-03-25,3,"Mar",2018,25,"Sunday","(41.936033, -87.653266)","purple_exp"
"16097",41210,"Wellington","01/30/2018","W",3183,2018-01-30,1,"Jan",2018,30,"Tuesday","(41.936033, -87.653266)","purple_exp"
"16130",41210,"Wellington","03/29/2018","W",3097,2018-03-29,3,"Mar",2018,29,"Thursday","(41.936033, -87.653266)","purple_exp"
"16185",41210,"Wellington","03/16/2018","W",3043,2018-03-16,3,"Mar",2018,16,"Friday","(41.936033, -87.653266)","purple_exp"
"16435",41210,"Wellington","02/05/2018","W",2957,2018-02-05,2,"Feb",2018,5,"Monday","(41.936033, -87.653266)","purple_exp"
"16535",41210,"Wellington","03/07/2018","W",3197,2018-03-07,3,"Mar",2018,7,"Wednesday","(41.936033, -87.653266)","purple_exp"
"16568",41210,"Wellington","03/18/2018","U",956,2018-03-18,3,"Mar",2018,18,"Sunday","(41.936033, -87.653266)","purple_exp"
"16576",41210,"Wellington","03/13/2018","W",3235,2018-03-13,3,"Mar",2018,13,"Tuesday","(41.936033, -87.653266)","purple_exp"
"16616",41210,"Wellington","02/21/2018","W",3194,2018-02-21,2,"Feb",2018,21,"Wednesday","(41.936033, -87.653266)","purple_exp"
"16717",41210,"Wellington","03/14/2018","W",3243,2018-03-14,3,"Mar",2018,14,"Wednesday","(41.936033, -87.653266)","purple_exp"
"16739",41210,"Wellington","01/25/2018","W",3296,2018-01-25,1,"Jan",2018,25,"Thursday","(41.936033, -87.653266)","purple_exp"
"16807",41210,"Wellington","01/04/2018","W",2856,2018-01-04,1,"Jan",2018,4,"Thursday","(41.936033, -87.653266)","purple_exp"
"16885",41210,"Wellington","03/15/2018","W",3272,2018-03-15,3,"Mar",2018,15,"Thursday","(41.936033, -87.653266)","purple_exp"
"16948",41210,"Wellington","01/10/2018","W",3223,2018-01-10,1,"Jan",2018,10,"Wednesday","(41.936033, -87.653266)","purple_exp"
"17369",41210,"Wellington","03/10/2018","A",1414,2018-03-10,3,"Mar",2018,10,"Saturday","(41.936033, -87.653266)","purple_exp"
"17371",41210,"Wellington","03/23/2018","W",2987,2018-03-23,3,"Mar",2018,23,"Friday","(41.936033, -87.653266)","purple_exp"
"17499",41210,"Wellington","01/18/2018","W",3268,2018-01-18,1,"Jan",2018,18,"Thursday","(41.936033, -87.653266)","purple_exp"
"17559",41210,"Wellington","06/24/2018","U",4137,2018-06-24,6,"Jun",2018,24,"Sunday","(41.936033, -87.653266)","purple_exp"
"17681",41210,"Wellington","06/20/2018","W",3142,2018-06-20,6,"Jun",2018,20,"Wednesday","(41.936033, -87.653266)","purple_exp"
"17727",41210,"Wellington","04/04/2018","W",3224,2018-04-04,4,"Apr",2018,4,"Wednesday","(41.936033, -87.653266)","purple_exp"
"17908",41210,"Wellington","04/17/2018","W",3183,2018-04-17,4,"Apr",2018,17,"Tuesday","(41.936033, -87.653266)","purple_exp"
"17928",41210,"Wellington","05/28/2018","U",768,2018-05-28,5,"May",2018,28,"Monday","(41.936033, -87.653266)","purple_exp"
"18208",41210,"Wellington","05/09/2018","W",3164,2018-05-09,5,"May",2018,9,"Wednesday","(41.936033, -87.653266)","purple_exp"
"18214",41210,"Wellington","06/06/2018","W",3126,2018-06-06,6,"Jun",2018,6,"Wednesday","(41.936033, -87.653266)","purple_exp"
"18243",41210,"Wellington","06/08/2018","W",2975,2018-06-08,6,"Jun",2018,8,"Friday","(41.936033, -87.653266)","purple_exp"
"18696",41210,"Wellington","06/25/2018","W",2940,2018-06-25,6,"Jun",2018,25,"Monday","(41.936033, -87.653266)","purple_exp"
"18731",41210,"Wellington","06/07/2018","W",3234,2018-06-07,6,"Jun",2018,7,"Thursday","(41.936033, -87.653266)","purple_exp"
"18870",41210,"Wellington","04/25/2018","W",3280,2018-04-25,4,"Apr",2018,25,"Wednesday","(41.936033, -87.653266)","purple_exp"
"19099",41210,"Wellington","04/01/2018","U",544,2018-04-01,4,"Apr",2018,1,"Sunday","(41.936033, -87.653266)","purple_exp"
"19130",41210,"Wellington","04/23/2018","W",2919,2018-04-23,4,"Apr",2018,23,"Monday","(41.936033, -87.653266)","purple_exp"
"19140",41210,"Wellington","04/03/2018","W",3139,2018-04-03,4,"Apr",2018,3,"Tuesday","(41.936033, -87.653266)","purple_exp"
"19521",41210,"Wellington","04/15/2018","U",718,2018-04-15,4,"Apr",2018,15,"Sunday","(41.936033, -87.653266)","purple_exp"
"20004",41210,"Wellington","05/01/2018","W",3141,2018-05-01,5,"May",2018,1,"Tuesday","(41.936033, -87.653266)","purple_exp"
"20145",41210,"Wellington","04/10/2018","W",3243,2018-04-10,4,"Apr",2018,10,"Tuesday","(41.936033, -87.653266)","purple_exp"
"20254",41210,"Wellington","05/16/2018","W",3183,2018-05-16,5,"May",2018,16,"Wednesday","(41.936033, -87.653266)","purple_exp"
"20264",41210,"Wellington","05/14/2018","W",2813,2018-05-14,5,"May",2018,14,"Monday","(41.936033, -87.653266)","purple_exp"
