"station_id"	"stationname"	"date"	"daytype"	"rides"	"loc"
"529331"	40960	"Pulaski-Orange"	"07/19/2008"	"A"	2074	"(41.799756, -87.724493)"
"529428"	40960	"Pulaski-Orange"	"12/15/2010"	"W"	4564	"(41.799756, -87.724493)"
"529486"	40960	"Pulaski-Orange"	"06/14/2006"	"W"	5592	"(41.799756, -87.724493)"
"529506"	40960	"Pulaski-Orange"	"04/11/2007"	"W"	5034	"(41.799756, -87.724493)"
"529515"	40960	"Pulaski-Orange"	"08/01/2003"	"W"	4688	"(41.799756, -87.724493)"
"530183"	40960	"Pulaski-Orange"	"06/18/2003"	"W"	5112	"(41.799756, -87.724493)"
"530228"	40960	"Pulaski-Orange"	"04/07/2010"	"W"	4811	"(41.799756, -87.724493)"
"530359"	40960	"Pulaski-Orange"	"03/15/2011"	"W"	5204	"(41.799756, -87.724493)"
"530710"	40960	"Pulaski-Orange"	"03/16/2013"	"A"	2565	"(41.799756, -87.724493)"
"530796"	40960	"Pulaski-Orange"	"08/21/2002"	"W"	4695	"(41.799756, -87.724493)"
"530829"	40960	"Pulaski-Orange"	"01/09/2013"	"W"	5127	"(41.799756, -87.724493)"
"531003"	40960	"Pulaski-Orange"	"09/13/2014"	"A"	2594	"(41.799756, -87.724493)"
"531076"	40960	"Pulaski-Orange"	"04/15/2003"	"W"	4634	"(41.799756, -87.724493)"
"531088"	40960	"Pulaski-Orange"	"10/06/2010"	"W"	5570	"(41.799756, -87.724493)"
"531309"	40960	"Pulaski-Orange"	"03/02/2010"	"W"	4893	"(41.799756, -87.724493)"
"531382"	40960	"Pulaski-Orange"	"09/26/2013"	"W"	6030	"(41.799756, -87.724493)"
"531570"	40960	"Pulaski-Orange"	"10/13/2016"	"W"	6004	"(41.799756, -87.724493)"
"531996"	40960	"Pulaski-Orange"	"05/24/2003"	"A"	1505	"(41.799756, -87.724493)"
"531999"	40960	"Pulaski-Orange"	"04/03/2005"	"U"	1145	"(41.799756, -87.724493)"
"532248"	40960	"Pulaski-Orange"	"05/04/2005"	"W"	5450	"(41.799756, -87.724493)"
"532285"	40960	"Pulaski-Orange"	"09/22/2007"	"A"	2200	"(41.799756, -87.724493)"
"532397"	40960	"Pulaski-Orange"	"03/02/2016"	"W"	5445	"(41.799756, -87.724493)"
"532433"	40960	"Pulaski-Orange"	"05/20/2009"	"W"	5230	"(41.799756, -87.724493)"
"532465"	40960	"Pulaski-Orange"	"06/26/2009"	"W"	4950	"(41.799756, -87.724493)"
"532729"	40960	"Pulaski-Orange"	"07/15/2013"	"W"	4959	"(41.799756, -87.724493)"
"532824"	40960	"Pulaski-Orange"	"10/24/2005"	"W"	5441	"(41.799756, -87.724493)"
"532990"	40960	"Pulaski-Orange"	"01/26/2016"	"W"	5359	"(41.799756, -87.724493)"
"533042"	40960	"Pulaski-Orange"	"08/09/2003"	"A"	1788	"(41.799756, -87.724493)"
"533289"	40960	"Pulaski-Orange"	"02/28/2009"	"A"	1699	"(41.799756, -87.724493)"
"533452"	40960	"Pulaski-Orange"	"01/27/2015"	"W"	5410	"(41.799756, -87.724493)"
"533455"	40960	"Pulaski-Orange"	"05/05/2004"	"W"	5712	"(41.799756, -87.724493)"
"533553"	40960	"Pulaski-Orange"	"10/26/2016"	"W"	5761	"(41.799756, -87.724493)"
"533757"	40960	"Pulaski-Orange"	"03/15/2012"	"W"	5714	"(41.799756, -87.724493)"
"534131"	40960	"Pulaski-Orange"	"03/09/2012"	"W"	5273	"(41.799756, -87.724493)"
"534327"	40960	"Pulaski-Orange"	"01/28/2004"	"W"	5152	"(41.799756, -87.724493)"
"534501"	40960	"Pulaski-Orange"	"05/31/2013"	"W"	5334	"(41.799756, -87.724493)"
"534575"	40960	"Pulaski-Orange"	"08/23/2005"	"W"	4901	"(41.799756, -87.724493)"
"534594"	40960	"Pulaski-Orange"	"04/02/2011"	"A"	2111	"(41.799756, -87.724493)"
"534673"	40960	"Pulaski-Orange"	"12/05/2011"	"W"	5262	"(41.799756, -87.724493)"
"534745"	40960	"Pulaski-Orange"	"01/15/2009"	"W"	4004	"(41.799756, -87.724493)"
"535040"	40960	"Pulaski-Orange"	"07/23/2002"	"W"	5166	"(41.799756, -87.724493)"
"535261"	40960	"Pulaski-Orange"	"10/01/2001"	"W"	5873	"(41.799756, -87.724493)"
"535263"	40960	"Pulaski-Orange"	"02/05/2005"	"A"	1755	"(41.799756, -87.724493)"
"535604"	40960	"Pulaski-Orange"	"11/24/2006"	"W"	2828	"(41.799756, -87.724493)"
"535640"	40960	"Pulaski-Orange"	"05/13/2015"	"W"	5371	"(41.799756, -87.724493)"
"535922"	40960	"Pulaski-Orange"	"08/02/2014"	"A"	2816	"(41.799756, -87.724493)"
"536072"	40960	"Pulaski-Orange"	"07/30/2002"	"W"	5143	"(41.799756, -87.724493)"
"536078"	40960	"Pulaski-Orange"	"02/16/2003"	"U"	859	"(41.799756, -87.724493)"
"536447"	40960	"Pulaski-Orange"	"03/21/2003"	"W"	5226	"(41.799756, -87.724493)"
"536615"	40960	"Pulaski-Orange"	"05/09/2004"	"U"	1046	"(41.799756, -87.724493)"
"536619"	40960	"Pulaski-Orange"	"03/07/2005"	"W"	3918	"(41.799756, -87.724493)"
"536811"	40960	"Pulaski-Orange"	"11/19/2006"	"U"	1185	"(41.799756, -87.724493)"
"537206"	40960	"Pulaski-Orange"	"06/09/2008"	"W"	5080	"(41.799756, -87.724493)"
"537397"	40960	"Pulaski-Orange"	"01/13/2014"	"W"	5389	"(41.799756, -87.724493)"
"537826"	40960	"Pulaski-Orange"	"02/14/2007"	"W"	4700	"(41.799756, -87.724493)"
"538105"	40960	"Pulaski-Orange"	"12/16/2005"	"W"	4894	"(41.799756, -87.724493)"
"538378"	40960	"Pulaski-Orange"	"02/03/2016"	"W"	5479	"(41.799756, -87.724493)"
"538387"	40960	"Pulaski-Orange"	"10/12/2012"	"W"	5649	"(41.799756, -87.724493)"
"538598"	40960	"Pulaski-Orange"	"09/03/2017"	"U"	2059	"(41.799756, -87.724493)"
"538628"	40960	"Pulaski-Orange"	"05/28/2001"	"U"	853	"(41.799756, -87.724493)"
"538651"	40960	"Pulaski-Orange"	"03/11/2015"	"W"	5607	"(41.799756, -87.724493)"
"538887"	40960	"Pulaski-Orange"	"05/04/2015"	"W"	5480	"(41.799756, -87.724493)"
"538921"	40960	"Pulaski-Orange"	"10/10/2005"	"W"	3935	"(41.799756, -87.724493)"
"539084"	40960	"Pulaski-Orange"	"03/27/2010"	"A"	1850	"(41.799756, -87.724493)"
"539291"	40960	"Pulaski-Orange"	"06/03/2017"	"A"	2607	"(41.799756, -87.724493)"
"539605"	40960	"Pulaski-Orange"	"10/14/2003"	"W"	5909	"(41.799756, -87.724493)"
"539749"	40960	"Pulaski-Orange"	"07/29/2009"	"W"	4579	"(41.799756, -87.724493)"
"539897"	40960	"Pulaski-Orange"	"11/28/2012"	"W"	5671	"(41.799756, -87.724493)"
"539947"	40960	"Pulaski-Orange"	"06/26/2004"	"A"	2296	"(41.799756, -87.724493)"
"540235"	40960	"Pulaski-Orange"	"09/24/2017"	"U"	1843	"(41.799756, -87.724493)"
"540236"	40960	"Pulaski-Orange"	"04/29/2007"	"U"	1343	"(41.799756, -87.724493)"
"540275"	40960	"Pulaski-Orange"	"09/23/2013"	"W"	5803	"(41.799756, -87.724493)"
"540474"	40960	"Pulaski-Orange"	"07/27/2008"	"U"	1654	"(41.799756, -87.724493)"
"540494"	40960	"Pulaski-Orange"	"10/03/2002"	"W"	5981	"(41.799756, -87.724493)"
"540570"	40960	"Pulaski-Orange"	"11/19/2003"	"W"	5651	"(41.799756, -87.724493)"
"540854"	40960	"Pulaski-Orange"	"11/29/2017"	"W"	5790	"(41.799756, -87.724493)"
"541355"	40960	"Pulaski-Orange"	"12/13/2007"	"W"	5380	"(41.799756, -87.724493)"
"541541"	40960	"Pulaski-Orange"	"03/24/2010"	"W"	4928	"(41.799756, -87.724493)"
"541586"	40960	"Pulaski-Orange"	"09/15/2007"	"A"	2255	"(41.799756, -87.724493)"
"541799"	40960	"Pulaski-Orange"	"11/09/2014"	"U"	1740	"(41.799756, -87.724493)"
"541830"	40960	"Pulaski-Orange"	"06/27/2015"	"A"	2682	"(41.799756, -87.724493)"
"541922"	40960	"Pulaski-Orange"	"07/29/2002"	"W"	4800	"(41.799756, -87.724493)"
"542089"	40960	"Pulaski-Orange"	"01/11/2007"	"W"	5155	"(41.799756, -87.724493)"
"542139"	40960	"Pulaski-Orange"	"07/08/2006"	"A"	2788	"(41.799756, -87.724493)"
"542178"	40960	"Pulaski-Orange"	"02/06/2001"	"W"	5551	"(41.799756, -87.724493)"
"542269"	40960	"Pulaski-Orange"	"02/17/2004"	"W"	5344	"(41.799756, -87.724493)"
"542423"	40960	"Pulaski-Orange"	"09/14/2002"	"A"	1824	"(41.799756, -87.724493)"
"542515"	40960	"Pulaski-Orange"	"04/03/2011"	"U"	1258	"(41.799756, -87.724493)"
"542628"	40960	"Pulaski-Orange"	"03/26/2012"	"W"	5278	"(41.799756, -87.724493)"
"542642"	40960	"Pulaski-Orange"	"06/19/2010"	"A"	2256	"(41.799756, -87.724493)"
"542849"	40960	"Pulaski-Orange"	"05/01/2012"	"W"	5649	"(41.799756, -87.724493)"
"542903"	40960	"Pulaski-Orange"	"11/20/2009"	"W"	5042	"(41.799756, -87.724493)"
"543630"	40960	"Pulaski-Orange"	"07/25/2016"	"W"	5041	"(41.799756, -87.724493)"
"543714"	40960	"Pulaski-Orange"	"09/04/2014"	"W"	5868	"(41.799756, -87.724493)"
"543914"	40960	"Pulaski-Orange"	"11/14/2015"	"A"	2573	"(41.799756, -87.724493)"
"544128"	40960	"Pulaski-Orange"	"10/13/2007"	"A"	2148	"(41.799756, -87.724493)"
"544177"	40960	"Pulaski-Orange"	"08/09/2008"	"A"	2077	"(41.799756, -87.724493)"
"544354"	40960	"Pulaski-Orange"	"05/26/2011"	"W"	4870	"(41.799756, -87.724493)"
"544486"	40960	"Pulaski-Orange"	"07/24/2011"	"U"	1684	"(41.799756, -87.724493)"
"544514"	40960	"Pulaski-Orange"	"05/19/2002"	"U"	876	"(41.799756, -87.724493)"
"544586"	40960	"Pulaski-Orange"	"06/07/2012"	"W"	5627	"(41.799756, -87.724493)"
"545151"	40960	"Pulaski-Orange"	"12/08/2008"	"W"	5018	"(41.799756, -87.724493)"
"545385"	40960	"Pulaski-Orange"	"12/09/2001"	"U"	952	"(41.799756, -87.724493)"
"545468"	40960	"Pulaski-Orange"	"04/05/2016"	"W"	5628	"(41.799756, -87.724493)"
"545591"	40960	"Pulaski-Orange"	"11/20/2013"	"W"	5742	"(41.799756, -87.724493)"
"545611"	40960	"Pulaski-Orange"	"03/19/2006"	"U"	1036	"(41.799756, -87.724493)"
"545731"	40960	"Pulaski-Orange"	"01/03/2013"	"W"	4336	"(41.799756, -87.724493)"
"545889"	40960	"Pulaski-Orange"	"10/17/2017"	"W"	6032	"(41.799756, -87.724493)"
"545910"	40960	"Pulaski-Orange"	"01/15/2015"	"W"	5346	"(41.799756, -87.724493)"
"545922"	40960	"Pulaski-Orange"	"04/21/2010"	"W"	5035	"(41.799756, -87.724493)"
"545924"	40960	"Pulaski-Orange"	"01/20/2013"	"U"	1199	"(41.799756, -87.724493)"
"545974"	40960	"Pulaski-Orange"	"05/24/2010"	"W"	4817	"(41.799756, -87.724493)"
"546149"	40960	"Pulaski-Orange"	"05/15/2006"	"W"	5252	"(41.799756, -87.724493)"
"546173"	40960	"Pulaski-Orange"	"01/22/2016"	"W"	5129	"(41.799756, -87.724493)"
"546211"	40960	"Pulaski-Orange"	"10/22/2005"	"A"	1905	"(41.799756, -87.724493)"
"546246"	40960	"Pulaski-Orange"	"10/01/2006"	"U"	1500	"(41.799756, -87.724493)"
"546265"	40960	"Pulaski-Orange"	"06/20/2012"	"W"	5254	"(41.799756, -87.724493)"
"546269"	40960	"Pulaski-Orange"	"08/05/2003"	"W"	4980	"(41.799756, -87.724493)"
"546465"	40960	"Pulaski-Orange"	"07/06/2013"	"A"	2647	"(41.799756, -87.724493)"
"546848"	40960	"Pulaski-Orange"	"09/11/2017"	"W"	5876	"(41.799756, -87.724493)"
"546899"	40960	"Pulaski-Orange"	"12/30/2010"	"W"	3217	"(41.799756, -87.724493)"
"547138"	40960	"Pulaski-Orange"	"05/08/2001"	"W"	5749	"(41.799756, -87.724493)"
"547299"	40960	"Pulaski-Orange"	"02/13/2008"	"W"	5278	"(41.799756, -87.724493)"
"547367"	40960	"Pulaski-Orange"	"02/19/2001"	"W"	3250	"(41.799756, -87.724493)"
"547443"	40960	"Pulaski-Orange"	"12/10/2006"	"U"	1140	"(41.799756, -87.724493)"
"547661"	40960	"Pulaski-Orange"	"07/29/2004"	"W"	4702	"(41.799756, -87.724493)"
"547866"	40960	"Pulaski-Orange"	"07/31/2009"	"W"	4365	"(41.799756, -87.724493)"
"547932"	40960	"Pulaski-Orange"	"10/24/2004"	"U"	1187	"(41.799756, -87.724493)"
"547983"	40960	"Pulaski-Orange"	"07/21/2014"	"W"	4908	"(41.799756, -87.724493)"
"548168"	40960	"Pulaski-Orange"	"02/05/2010"	"W"	4460	"(41.799756, -87.724493)"
"548182"	40960	"Pulaski-Orange"	"08/07/2011"	"U"	2074	"(41.799756, -87.724493)"
"548276"	40960	"Pulaski-Orange"	"10/25/2015"	"U"	1755	"(41.799756, -87.724493)"
"548316"	40960	"Pulaski-Orange"	"04/30/2008"	"W"	5716	"(41.799756, -87.724493)"
"548386"	40960	"Pulaski-Orange"	"02/16/2016"	"W"	5341	"(41.799756, -87.724493)"
"548454"	40960	"Pulaski-Orange"	"05/14/2015"	"W"	5343	"(41.799756, -87.724493)"
"548526"	40960	"Pulaski-Orange"	"06/30/2008"	"W"	5624	"(41.799756, -87.724493)"
"548537"	40960	"Pulaski-Orange"	"06/10/2006"	"A"	1963	"(41.799756, -87.724493)"
"549029"	40960	"Pulaski-Orange"	"09/21/2003"	"U"	1099	"(41.799756, -87.724493)"
"549044"	40960	"Pulaski-Orange"	"06/03/2003"	"W"	5482	"(41.799756, -87.724493)"
"549160"	40960	"Pulaski-Orange"	"10/05/2006"	"W"	5811	"(41.799756, -87.724493)"
"549212"	40960	"Pulaski-Orange"	"02/13/2007"	"W"	4771	"(41.799756, -87.724493)"
"549283"	40960	"Pulaski-Orange"	"03/01/2016"	"W"	5216	"(41.799756, -87.724493)"
"549315"	40960	"Pulaski-Orange"	"02/28/2002"	"W"	5567	"(41.799756, -87.724493)"
"549434"	40960	"Pulaski-Orange"	"10/02/2007"	"W"	5845	"(41.799756, -87.724493)"
"549476"	40960	"Pulaski-Orange"	"10/12/2013"	"A"	2584	"(41.799756, -87.724493)"
"549552"	40960	"Pulaski-Orange"	"01/13/2002"	"U"	690	"(41.799756, -87.724493)"
"549554"	40960	"Pulaski-Orange"	"05/19/2003"	"W"	5402	"(41.799756, -87.724493)"
"549759"	40960	"Pulaski-Orange"	"08/26/2006"	"A"	2090	"(41.799756, -87.724493)"
"549920"	40960	"Pulaski-Orange"	"03/11/2001"	"U"	759	"(41.799756, -87.724493)"
"549969"	40960	"Pulaski-Orange"	"05/15/2017"	"W"	5176	"(41.799756, -87.724493)"
"550098"	40960	"Pulaski-Orange"	"01/22/2013"	"W"	4802	"(41.799756, -87.724493)"
"550104"	40960	"Pulaski-Orange"	"08/22/2007"	"W"	4625	"(41.799756, -87.724493)"
"550354"	40960	"Pulaski-Orange"	"04/23/2001"	"W"	5425	"(41.799756, -87.724493)"
"550391"	40960	"Pulaski-Orange"	"06/18/2006"	"U"	1130	"(41.799756, -87.724493)"
"550561"	40960	"Pulaski-Orange"	"02/25/2013"	"W"	5377	"(41.799756, -87.724493)"
"550614"	40960	"Pulaski-Orange"	"09/03/2015"	"W"	5704	"(41.799756, -87.724493)"
"550666"	40960	"Pulaski-Orange"	"04/28/2005"	"W"	4780	"(41.799756, -87.724493)"
"550718"	40960	"Pulaski-Orange"	"02/11/2016"	"W"	5295	"(41.799756, -87.724493)"
"550839"	40960	"Pulaski-Orange"	"07/05/2016"	"W"	4819	"(41.799756, -87.724493)"
"550984"	40960	"Pulaski-Orange"	"11/18/2004"	"W"	4782	"(41.799756, -87.724493)"
"551016"	40960	"Pulaski-Orange"	"07/03/2002"	"W"	8569	"(41.799756, -87.724493)"
"551028"	40960	"Pulaski-Orange"	"07/30/2011"	"A"	2388	"(41.799756, -87.724493)"
"551240"	40960	"Pulaski-Orange"	"07/18/2017"	"W"	5164	"(41.799756, -87.724493)"
"551375"	40960	"Pulaski-Orange"	"09/29/2006"	"W"	5631	"(41.799756, -87.724493)"
"551490"	40960	"Pulaski-Orange"	"05/08/2003"	"W"	5387	"(41.799756, -87.724493)"
"551562"	40960	"Pulaski-Orange"	"11/26/2007"	"W"	5617	"(41.799756, -87.724493)"
"551612"	40960	"Pulaski-Orange"	"06/29/2006"	"W"	5065	"(41.799756, -87.724493)"
"551709"	40960	"Pulaski-Orange"	"04/29/2005"	"W"	5019	"(41.799756, -87.724493)"
"551817"	40960	"Pulaski-Orange"	"03/05/2009"	"W"	5145	"(41.799756, -87.724493)"
"551869"	40960	"Pulaski-Orange"	"11/23/2009"	"W"	5202	"(41.799756, -87.724493)"
"551962"	40960	"Pulaski-Orange"	"05/23/2015"	"A"	2597	"(41.799756, -87.724493)"
"552104"	40960	"Pulaski-Orange"	"09/02/2015"	"W"	5496	"(41.799756, -87.724493)"
"552399"	40960	"Pulaski-Orange"	"09/15/2005"	"W"	5972	"(41.799756, -87.724493)"
"552482"	40960	"Pulaski-Orange"	"09/17/2002"	"W"	6033	"(41.799756, -87.724493)"
"552491"	40960	"Pulaski-Orange"	"03/10/2012"	"A"	2335	"(41.799756, -87.724493)"
"552681"	40960	"Pulaski-Orange"	"09/26/2007"	"W"	6063	"(41.799756, -87.724493)"
"552708"	40960	"Pulaski-Orange"	"11/21/2009"	"A"	2678	"(41.799756, -87.724493)"
"552774"	40960	"Pulaski-Orange"	"03/02/2015"	"W"	5179	"(41.799756, -87.724493)"
"552894"	40960	"Pulaski-Orange"	"09/12/2002"	"W"	5896	"(41.799756, -87.724493)"
"552999"	40960	"Pulaski-Orange"	"07/02/2007"	"W"	5160	"(41.799756, -87.724493)"
"553008"	40960	"Pulaski-Orange"	"02/03/2012"	"W"	4640	"(41.799756, -87.724493)"
"553063"	40960	"Pulaski-Orange"	"01/13/2004"	"W"	5299	"(41.799756, -87.724493)"
"553144"	40960	"Pulaski-Orange"	"03/22/2006"	"W"	5230	"(41.799756, -87.724493)"
"553302"	40960	"Pulaski-Orange"	"12/13/2003"	"A"	1724	"(41.799756, -87.724493)"
"553367"	40960	"Pulaski-Orange"	"08/13/2016"	"A"	2485	"(41.799756, -87.724493)"
"553439"	40960	"Pulaski-Orange"	"02/21/2001"	"W"	5511	"(41.799756, -87.724493)"
"553514"	40960	"Pulaski-Orange"	"03/21/2009"	"A"	2064	"(41.799756, -87.724493)"
"553660"	40960	"Pulaski-Orange"	"02/05/2007"	"W"	3996	"(41.799756, -87.724493)"
"553745"	40960	"Pulaski-Orange"	"01/27/2012"	"W"	4695	"(41.799756, -87.724493)"
"554093"	40960	"Pulaski-Orange"	"12/13/2006"	"W"	5538	"(41.799756, -87.724493)"
"554186"	40960	"Pulaski-Orange"	"02/05/2009"	"W"	4926	"(41.799756, -87.724493)"
"554671"	40960	"Pulaski-Orange"	"08/29/2017"	"W"	5272	"(41.799756, -87.724493)"
"554747"	40960	"Pulaski-Orange"	"10/20/2012"	"A"	2516	"(41.799756, -87.724493)"
"554750"	40960	"Pulaski-Orange"	"08/05/2004"	"W"	4652	"(41.799756, -87.724493)"
"555220"	40960	"Pulaski-Orange"	"09/18/2009"	"W"	5206	"(41.799756, -87.724493)"
"555348"	40960	"Pulaski-Orange"	"04/11/2003"	"W"	4387	"(41.799756, -87.724493)"
"555496"	40960	"Pulaski-Orange"	"01/26/2012"	"W"	5515	"(41.799756, -87.724493)"
"555730"	40960	"Pulaski-Orange"	"09/14/2016"	"W"	6114	"(41.799756, -87.724493)"
"556000"	40960	"Pulaski-Orange"	"05/22/2014"	"W"	5460	"(41.799756, -87.724493)"
"556056"	40960	"Pulaski-Orange"	"07/22/2006"	"A"	2180	"(41.799756, -87.724493)"
"556221"	40960	"Pulaski-Orange"	"07/13/2010"	"W"	4458	"(41.799756, -87.724493)"
"556324"	40960	"Pulaski-Orange"	"05/04/2006"	"W"	5627	"(41.799756, -87.724493)"
"556457"	40960	"Pulaski-Orange"	"01/22/2010"	"W"	4566	"(41.799756, -87.724493)"
"556598"	40960	"Pulaski-Orange"	"04/12/2001"	"W"	5360	"(41.799756, -87.724493)"
"556645"	40960	"Pulaski-Orange"	"01/01/2008"	"U"	670	"(41.799756, -87.724493)"
"556664"	40960	"Pulaski-Orange"	"12/15/2001"	"A"	1638	"(41.799756, -87.724493)"
"556737"	40960	"Pulaski-Orange"	"10/15/2015"	"W"	6188	"(41.799756, -87.724493)"
"556943"	40960	"Pulaski-Orange"	"08/19/2001"	"U"	1161	"(41.799756, -87.724493)"
"557086"	40960	"Pulaski-Orange"	"07/01/2010"	"W"	5482	"(41.799756, -87.724493)"
"557189"	40960	"Pulaski-Orange"	"07/22/2001"	"U"	906	"(41.799756, -87.724493)"
"557902"	40960	"Pulaski-Orange"	"01/17/2016"	"U"	1048	"(41.799756, -87.724493)"
"557929"	40960	"Pulaski-Orange"	"05/25/2001"	"W"	5053	"(41.799756, -87.724493)"
"557981"	40960	"Pulaski-Orange"	"05/25/2007"	"W"	5298	"(41.799756, -87.724493)"
"558270"	40960	"Pulaski-Orange"	"12/09/2015"	"W"	5934	"(41.799756, -87.724493)"
"558295"	40960	"Pulaski-Orange"	"03/16/2004"	"W"	5248	"(41.799756, -87.724493)"
"558442"	40960	"Pulaski-Orange"	"03/24/2014"	"W"	5129	"(41.799756, -87.724493)"
"558454"	40960	"Pulaski-Orange"	"05/04/2003"	"U"	983	"(41.799756, -87.724493)"
"558465"	40960	"Pulaski-Orange"	"02/25/2010"	"W"	4960	"(41.799756, -87.724493)"
"558541"	40960	"Pulaski-Orange"	"06/19/2001"	"W"	4923	"(41.799756, -87.724493)"
"558636"	40960	"Pulaski-Orange"	"02/14/2017"	"W"	5627	"(41.799756, -87.724493)"
"558777"	40960	"Pulaski-Orange"	"04/23/2016"	"A"	2190	"(41.799756, -87.724493)"
"558918"	40960	"Pulaski-Orange"	"05/09/2010"	"U"	1281	"(41.799756, -87.724493)"
"559511"	40960	"Pulaski-Orange"	"02/22/2005"	"W"	5255	"(41.799756, -87.724493)"
"559631"	40960	"Pulaski-Orange"	"11/30/2004"	"W"	5446	"(41.799756, -87.724493)"
"560210"	40960	"Pulaski-Orange"	"03/16/2006"	"W"	5208	"(41.799756, -87.724493)"
"560274"	40960	"Pulaski-Orange"	"05/02/2013"	"W"	5448	"(41.799756, -87.724493)"
"560287"	40960	"Pulaski-Orange"	"01/23/2010"	"A"	1829	"(41.799756, -87.724493)"
"560521"	40960	"Pulaski-Orange"	"02/04/2007"	"U"	622	"(41.799756, -87.724493)"
"560530"	40960	"Pulaski-Orange"	"02/27/2017"	"W"	5391	"(41.799756, -87.724493)"
"560684"	40960	"Pulaski-Orange"	"03/06/2015"	"W"	5054	"(41.799756, -87.724493)"
"560892"	40960	"Pulaski-Orange"	"03/12/2003"	"W"	5671	"(41.799756, -87.724493)"
"560940"	40960	"Pulaski-Orange"	"10/16/2008"	"W"	5927	"(41.799756, -87.724493)"
"561012"	40960	"Pulaski-Orange"	"03/21/2016"	"W"	4931	"(41.799756, -87.724493)"
"561147"	40960	"Pulaski-Orange"	"04/23/2006"	"U"	1277	"(41.799756, -87.724493)"
"561268"	40960	"Pulaski-Orange"	"02/14/2011"	"W"	5237	"(41.799756, -87.724493)"
"561350"	40960	"Pulaski-Orange"	"10/03/2003"	"W"	5413	"(41.799756, -87.724493)"
"561441"	40960	"Pulaski-Orange"	"07/07/2004"	"W"	4509	"(41.799756, -87.724493)"
"561562"	40960	"Pulaski-Orange"	"08/15/2005"	"W"	4375	"(41.799756, -87.724493)"
"561585"	40960	"Pulaski-Orange"	"01/03/2007"	"W"	4119	"(41.799756, -87.724493)"
"561596"	40960	"Pulaski-Orange"	"11/16/2016"	"W"	5914	"(41.799756, -87.724493)"
"561766"	40960	"Pulaski-Orange"	"01/24/2005"	"W"	5038	"(41.799756, -87.724493)"
"561806"	40960	"Pulaski-Orange"	"02/23/2012"	"W"	5553	"(41.799756, -87.724493)"
"561949"	40960	"Pulaski-Orange"	"07/13/2013"	"A"	3047	"(41.799756, -87.724493)"
"562186"	40960	"Pulaski-Orange"	"10/02/2017"	"W"	5883	"(41.799756, -87.724493)"
"562195"	40960	"Pulaski-Orange"	"02/01/2005"	"W"	5301	"(41.799756, -87.724493)"
"562366"	40960	"Pulaski-Orange"	"05/02/2014"	"W"	5351	"(41.799756, -87.724493)"
"562408"	40960	"Pulaski-Orange"	"03/14/2013"	"W"	5491	"(41.799756, -87.724493)"
"562491"	40960	"Pulaski-Orange"	"10/06/2013"	"U"	1749	"(41.799756, -87.724493)"
"562553"	40960	"Pulaski-Orange"	"08/30/2016"	"W"	5320	"(41.799756, -87.724493)"
"562575"	40960	"Pulaski-Orange"	"04/28/2008"	"W"	5323	"(41.799756, -87.724493)"
"562612"	40960	"Pulaski-Orange"	"09/23/2014"	"W"	6190	"(41.799756, -87.724493)"
"562799"	40960	"Pulaski-Orange"	"05/09/2014"	"W"	4964	"(41.799756, -87.724493)"
"563271"	40960	"Pulaski-Orange"	"02/28/2007"	"W"	5383	"(41.799756, -87.724493)"
"563308"	40960	"Pulaski-Orange"	"03/24/2008"	"W"	5107	"(41.799756, -87.724493)"
"563313"	40960	"Pulaski-Orange"	"05/08/2012"	"W"	5724	"(41.799756, -87.724493)"
"563374"	40960	"Pulaski-Orange"	"07/08/2014"	"W"	3878	"(41.799756, -87.724493)"
"563572"	40960	"Pulaski-Orange"	"11/22/2005"	"W"	5456	"(41.799756, -87.724493)"
"563595"	40960	"Pulaski-Orange"	"11/12/2007"	"W"	4198	"(41.799756, -87.724493)"
"563809"	40960	"Pulaski-Orange"	"05/21/2004"	"W"	5125	"(41.799756, -87.724493)"
"563810"	40960	"Pulaski-Orange"	"02/09/2001"	"W"	5454	"(41.799756, -87.724493)"
"563894"	40960	"Pulaski-Orange"	"05/07/2015"	"W"	5711	"(41.799756, -87.724493)"
"564002"	40960	"Pulaski-Orange"	"09/18/2001"	"W"	5870	"(41.799756, -87.724493)"
"564559"	40960	"Pulaski-Orange"	"02/25/2004"	"W"	5529	"(41.799756, -87.724493)"
"565356"	40960	"Pulaski-Orange"	"11/07/2004"	"U"	1107	"(41.799756, -87.724493)"
"565553"	40960	"Pulaski-Orange"	"11/19/2002"	"W"	5828	"(41.799756, -87.724493)"
"565672"	40960	"Pulaski-Orange"	"02/12/2010"	"W"	3473	"(41.799756, -87.724493)"
"565816"	40960	"Pulaski-Orange"	"03/07/2015"	"A"	2228	"(41.799756, -87.724493)"
"565908"	40960	"Pulaski-Orange"	"11/02/2011"	"W"	5776	"(41.799756, -87.724493)"
"566027"	40960	"Pulaski-Orange"	"02/04/2015"	"W"	5659	"(41.799756, -87.724493)"
"566222"	40960	"Pulaski-Orange"	"05/14/2005"	"A"	1803	"(41.799756, -87.724493)"
"566501"	40960	"Pulaski-Orange"	"09/24/2008"	"W"	6254	"(41.799756, -87.724493)"
"566548"	40960	"Pulaski-Orange"	"04/15/2015"	"W"	5286	"(41.799756, -87.724493)"
"566564"	40960	"Pulaski-Orange"	"07/07/2007"	"A"	2502	"(41.799756, -87.724493)"
"566582"	40960	"Pulaski-Orange"	"06/01/2017"	"W"	5591	"(41.799756, -87.724493)"
