"station_id"	"stationname"	"date"	"daytype"	"rides"	"loc"
"17772"	40960	"Pulaski-Orange"	"05/05/2018"	"A"	2471	"(41.799756, -87.724493)"
"18011"	40960	"Pulaski-Orange"	"05/27/2018"	"U"	1956	"(41.799756, -87.724493)"
"18033"	40960	"Pulaski-Orange"	"05/14/2018"	"W"	4806	"(41.799756, -87.724493)"
"18090"	40960	"Pulaski-Orange"	"05/25/2018"	"W"	5367	"(41.799756, -87.724493)"
"18309"	40960	"Pulaski-Orange"	"06/01/2018"	"W"	5537	"(41.799756, -87.724493)"
"18733"	40960	"Pulaski-Orange"	"04/20/2018"	"W"	5137	"(41.799756, -87.724493)"
"18850"	40960	"Pulaski-Orange"	"04/02/2018"	"W"	4921	"(41.799756, -87.724493)"
"19050"	40960	"Pulaski-Orange"	"06/28/2018"	"W"	5088	"(41.799756, -87.724493)"
"19188"	40960	"Pulaski-Orange"	"06/21/2018"	"W"	4167	"(41.799756, -87.724493)"
"19240"	40960	"Pulaski-Orange"	"05/13/2018"	"U"	1443	"(41.799756, -87.724493)"
"19326"	40960	"Pulaski-Orange"	"05/10/2018"	"W"	5559	"(41.799756, -87.724493)"
"19391"	40960	"Pulaski-Orange"	"06/04/2018"	"W"	5304	"(41.799756, -87.724493)"
"19549"	40960	"Pulaski-Orange"	"05/04/2018"	"W"	5338	"(41.799756, -87.724493)"
"19646"	40960	"Pulaski-Orange"	"06/30/2018"	"A"	2253	"(41.799756, -87.724493)"
"19680"	40960	"Pulaski-Orange"	"06/29/2018"	"W"	4714	"(41.799756, -87.724493)"
"20140"	40960	"Pulaski-Orange"	"06/11/2018"	"W"	4969	"(41.799756, -87.724493)"
"20225"	40960	"Pulaski-Orange"	"05/29/2018"	"W"	5299	"(41.799756, -87.724493)"
"20571"	40960	"Pulaski-Orange"	"05/03/2018"	"W"	5406	"(41.799756, -87.724493)"
"20643"	40960	"Pulaski-Orange"	"05/19/2018"	"A"	2299	"(41.799756, -87.724493)"
"20688"	40960	"Pulaski-Orange"	"06/16/2018"	"A"	2302	"(41.799756, -87.724493)"
"20689"	40960	"Pulaski-Orange"	"05/22/2018"	"W"	5216	"(41.799756, -87.724493)"
"20938"	40960	"Pulaski-Orange"	"06/05/2018"	"W"	5373	"(41.799756, -87.724493)"
"21011"	40960	"Pulaski-Orange"	"06/22/2018"	"W"	4302	"(41.799756, -87.724493)"
"21088"	40960	"Pulaski-Orange"	"04/29/2018"	"U"	1546	"(41.799756, -87.724493)"
"21106"	40960	"Pulaski-Orange"	"04/17/2018"	"W"	5282	"(41.799756, -87.724493)"
"21201"	40960	"Pulaski-Orange"	"06/26/2018"	"W"	4716	"(41.799756, -87.724493)"
"21284"	40960	"Pulaski-Orange"	"06/17/2018"	"U"	1541	"(41.799756, -87.724493)"
"21319"	40960	"Pulaski-Orange"	"06/02/2018"	"A"	2446	"(41.799756, -87.724493)"
"21360"	40960	"Pulaski-Orange"	"06/27/2018"	"W"	4844	"(41.799756, -87.724493)"
"21388"	40960	"Pulaski-Orange"	"05/02/2018"	"W"	5302	"(41.799756, -87.724493)"
"21794"	40960	"Pulaski-Orange"	"04/30/2018"	"W"	5379	"(41.799756, -87.724493)"
"21914"	40960	"Pulaski-Orange"	"06/15/2018"	"W"	5199	"(41.799756, -87.724493)"
"21919"	40960	"Pulaski-Orange"	"04/03/2018"	"W"	5094	"(41.799756, -87.724493)"
"22237"	40960	"Pulaski-Orange"	"04/14/2018"	"A"	1969	"(41.799756, -87.724493)"
"22622"	40960	"Pulaski-Orange"	"04/05/2018"	"W"	5209	"(41.799756, -87.724493)"
"22741"	40960	"Pulaski-Orange"	"06/08/2018"	"W"	5224	"(41.799756, -87.724493)"
"22768"	40960	"Pulaski-Orange"	"04/28/2018"	"A"	2131	"(41.799756, -87.724493)"
"22898"	40960	"Pulaski-Orange"	"05/26/2018"	"A"	2616	"(41.799756, -87.724493)"
"23041"	40960	"Pulaski-Orange"	"05/12/2018"	"A"	2099	"(41.799756, -87.724493)"
"23165"	40960	"Pulaski-Orange"	"06/20/2018"	"W"	4957	"(41.799756, -87.724493)"
"23418"	40960	"Pulaski-Orange"	"04/18/2018"	"W"	5188	"(41.799756, -87.724493)"
"23423"	40960	"Pulaski-Orange"	"05/21/2018"	"W"	4659	"(41.799756, -87.724493)"
"23574"	40960	"Pulaski-Orange"	"04/23/2018"	"W"	5057	"(41.799756, -87.724493)"
"24109"	40960	"Pulaski-Orange"	"04/25/2018"	"W"	5463	"(41.799756, -87.724493)"
"24224"	40960	"Pulaski-Orange"	"04/27/2018"	"W"	5220	"(41.799756, -87.724493)"
"24308"	40960	"Pulaski-Orange"	"04/10/2018"	"W"	5032	"(41.799756, -87.724493)"
"24399"	40960	"Pulaski-Orange"	"06/19/2018"	"W"	5074	"(41.799756, -87.724493)"
"24494"	40960	"Pulaski-Orange"	"06/14/2018"	"W"	5323	"(41.799756, -87.724493)"
"24561"	40960	"Pulaski-Orange"	"05/16/2018"	"W"	5352	"(41.799756, -87.724493)"
"24595"	40960	"Pulaski-Orange"	"05/06/2018"	"U"	1573	"(41.799756, -87.724493)"
"24671"	40960	"Pulaski-Orange"	"06/09/2018"	"A"	2328	"(41.799756, -87.724493)"
"24788"	40960	"Pulaski-Orange"	"04/24/2018"	"W"	5333	"(41.799756, -87.724493)"
"24823"	40960	"Pulaski-Orange"	"04/13/2018"	"W"	4540	"(41.799756, -87.724493)"
"24877"	40960	"Pulaski-Orange"	"05/17/2018"	"W"	5224	"(41.799756, -87.724493)"
"24898"	40960	"Pulaski-Orange"	"04/12/2018"	"W"	5655	"(41.799756, -87.724493)"
"24905"	40960	"Pulaski-Orange"	"05/07/2018"	"W"	5404	"(41.799756, -87.724493)"
"25325"	40960	"Pulaski-Orange"	"04/09/2018"	"W"	4844	"(41.799756, -87.724493)"
